
input\EAME_Ranch_Yr_Regime_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
Mim-2014Rotational	41500.00	83	170.0000	5	0.79249	0.37721	47.60	0.37452	1.6769	111.39
Mim-2015Continuous	6500.000	13	170.0000	0	0.00000	19.076	38.29	26.011	95.419	14.50
Mim-2015Rotational	23000.00	46	170.0000	6	1.7159	0.73697	42.95	0.86391	3.4082	67.09
Mim-2016Continuous	8000.000	16	170.0000	7	5.7555	2.3419	40.69	2.9468	11.241	24.19
Mim-2016Rotational	31500.00	63	170.0000	17	3.5499	1.0470	29.49	2.1997	5.7289	16.31
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\BAIS_Ranch_Yr_Restoration_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	11.00000	8	40.622	13.286	32.71	23.757	69.459	41.12
EHpO-2016Rotational	25000.00	50	11.00000	14	54.027	15.177	28.09	34.077	85.659	56.48
Mim-2014Continuous	7500.000	15	11.00000	0	0.00000	27.757	64.29	15.394	121.10	14.94
Mim-2014Rotational	41500.00	83	11.00000	1	2.3248	2.3313	100.28	0.58037	9.3121	111.39
Mim-2015Continuous	6500.000	13	11.00000	0	0.00000	19.076	38.29	26.011	95.419	14.50
Mim-2015Rotational	23000.00	46	11.00000	1	4.1947	4.2064	100.28	1.0337	17.022	67.09
Mim-2016Continuous	8000.000	16	11.00000	1	12.060	12.093	100.28	2.7968	52.001	24.19
Mim-2016Rotational	31500.00	63	11.00000	6	18.377	10.528	57.29	7.5531	44.711	7.50
Continuous	22000.00	44	24.00000	19	63.496	17.301	27.25	40.588	99.333	56.63
Rotational	140000.0	280	24.00000	246	129.19	16.152	12.50	105.23	158.61	1.63

input\SAVS_Ranch_Yr_Restoration_Mim.txt

Stratum	Effort	#samples	Width	n	D	SE	CV	90%LCL	90%UCL	df
EHpO-2015Rotational	19000.00	38	46.00000	24	141.45	38.502	27.22	90.804	220.34	118.40
EHpO-2016Rotational	25000.00	50	11.00000	14	54.027	15.177	28.09	34.077	85.659	56.48
